CVHub520/X-AnyLabeling 7c62ffb
OpenInterpreter/open-interpreter dbc5259
PennyLaneAI/pennylane b78565c
SciPhi-AI/R2R 712defb
Textualize/rich d0de442
Textualize/textual 4c0efd5
VainF/Torch-Pruning 88e7472
aimhubio/aim a566d4a
beetbox/beets 54b2435
boto/boto3 4e31351
camel-ai/camel b8e1f5c
cloud-custodian/cloud-custodian 59a1944
dlt-hub/dlt 6451bd7
encode/starlette 2d0dde8
explosion/spaCy 30f1f33
getmoto/moto 255d2b8
home-assistant/core 7555f20
huggingface/datasets ca58154
jxnl/instructor 959097e
mandarons/icloud-drive-docker 8cbcc2c
microsoft/qlib ca9f186
nonebot/nonebot2 be4f360
numba/numba a344e8f
open-compass/opencompass 7c7fa36
psf/black 98a580b
pymc-devs/pymc 0cc291a
python/mypy 0c10367
ranaroussi/yfinance 3fe87cb
sabnzbd/sabnzbd 07250aa
scverse/scvi-tools e8f9b36
secdev/scapy 30b0398
sherlock-project/sherlock f7075e1
soimort/you-get c4042d0
speechbrain/speechbrain dd65e12
spotDL/spotify-downloader 866dadd
sympy/sympy 05e3ffc
tiangolo/fastapi 212fd5e
tqdm/tqdm 951a2ba
typeddjango/django-stubs b325955
ydataai/ydata-profiling e94e500
