271374667/VideoFusion  9ba7b8
6abd/horus  c1d093
a-r-r-o-w/cogvideox-factory  80d115 
a-s-g93/neo4j-runway  16b441 
Aaditya-Prasad/consistency-policy  eed0c4 
AARG-FAN/Yolo_for_Wukong  07f61a 
adamobeng/wddbfs  5c68aa 
Adibvafa/CodonTransformer  2842ef 
AdityaNG/kan-gpt  0c6e4c 
Admyral-Security/admyral  de332e 
AgentOps-AI/AgentStack  ff9c6a 
aidatatools/ollama-benchmark  c6a5fd 
AIR-Bench/AIR-Bench  4b27b8 
airbytehq/PyAirbyte  7e65ab 
airtai/fastagency  1ff503 
Akkudoktor-EOS/EOS  fff685 
alexmolas/microsearch  632ff2 
alexwlchan/safari-webarchiver  0e4974 
AlibabaPAI/llumnix  b319b2 
All-Hands-AI/OpenHands  246107 
alvin-r/databonsai  3f2b7c 
amchii/tg-signer  926dbb 
andrewyng/aisuite  763996 
andrewyng/translation-agent  e0fc60 
AnswerDotAI/byaldi  4583c0 
AnswerDotAI/rerankers  ecd1f6 
antgroup/agentUniverse  ed8f55 
apapiu/transformer_latent_diffusion  84a75e 
apify/crawlee-python  267063 
apple/ToolSandbox  1a1dc8 
apple/ml-cross-entropy  1f3ebd 
apple/ml-mdm  9a5632 
arcee-ai/fastmlx  fd37bc 
argmaxinc/whisperkittools  03898f 
arvindrajan92/DTrOCR  a10aa0 
astramind-ai/Auralis  c357a1 
atonderski/neuro-ncap  ecdcf2 
aurelio-labs/semantic-chunkers  04acc2 
AuvaLab/itext2kg  941a1d 
awslabs/agent-evaluation  3df695 
Azure/co-op-translator  a4709e 
Azure-Samples/rag-postgres-openai-python  61bde7 
bananaml/fructose  5f24ec 
basf/MolPipeline  2f9bae 
basf/mamba-tabular  af1ea0 
beatzxbt/mm-toolbox  728e35 
bellingcat/ShadowFinder  578d5a 
Benexl/FastAnime  677f46 
betaacid/FastAPI-Reference-App  8caeca 
bhavnicksm/chonkie  990493 
bigcode-project/bigcodebench  7b6ce1 
Blealtan/efficient-kan  aa634d 
Bl3f/yato  4906b0 
block/goose  c497a5 
BMPixel/moffee  0e643d 
boheumd/MA-LMM  ffe9fa 
bytewiz3/TravelGPT  b19b43 
CausalLearning/ReAct  7d3665 
cfahlgren1/observers  d46fdb 
chaidiscovery/chai-lab  b6e7fa 
character-ai/prompt-poet  466432 
cheahjs/palworld-save-tools  7dc2c7 
chernyadev/bigym  72d305 
chrschy/fact-finder  ca57d1 
circlemind-ai/fast-graphrag  447511 
cloudflare/cloudflare-python  228479 
codefuse-ai/CodeFuse-muAgent  e93924 
codeintegrity-ai/mutahunter  f88922 
codematrixer/hmdriver2  c0d075 
codeskyblue/tidevice3  d83c34 
codeskyblue/uiautodev  eb8577 
Codium-ai/AlphaCodium  eb7577 
Codium-ai/cover-agent  5c4b88 
COLA-Laboratory/TransOPT  de8bf3 
Comfy-Org/comfy-cli  7711db 
CompEpigen/figeno  14b904 
computer-agents/agent-studio  d7f6cb 
cosmic-cortex/mlfz  5bf8d2 
cremebrule/digital-cousins  49400b 
crewAIInc/crewAI-tools  873935 
cvg/nerf-on-the-go  3659e7 
D-Star-AI/dsRAG  2d5431 
D4Vinci/Scrapling  012820 
DAGWorks-Inc/burr  79137e 
dai-motoki/zoltraak  4dce44 
darrenburns/posting  94feab 
DataformerAI/dataformer  0cf88c 
daxa-ai/pebblo  e67b01 
daya0576/beaverhabits  c01257 
dbos-inc/dbos-transact-py  d6c6ac 
deepsense-ai/db-ally  26033f 
dendrite-systems/dendrite-python-sdk  27c9da 
denser-org/denser-retriever  76256e 
dingo-actual/infini-transformer  08d0a1 
discord/access  19e9b1 
dleemiller/WordLlama  e38d47 
dongxuyue/Open-ReplaceAnything  83f0ae 
dottxt-ai/outlines-core  31ab9f 
dottxt-ai/prompts  3d2689 
dreadnode/rigging  82ac80 
droid-dataset/droid_policy_learning  205ff6 
DS4SD/docling  aee9c0 
dynamiq-ai/dynamiq  6cca1c 
eakmanrq/sqlframe  61fda5 
EleutherAI/sae  0483b5 
emcf/thepipe  02e397 
Emerging-AI/ENOVA  b3661d 
EnhancedJax/Bagels  d72d7f 
enoch3712/ExtractThinker  4872a7 
epic-open-source/seismometer  b3e812 
epistoteles/TensorHue  1564fa 
epogrebnyak/justpath  0aca51 
erezsh/reladiff  d8683b 
etianen/logot  54e5ef 
expectedparrot/edsl  aa7a2d 
explosion/spacy-layout  64c6f4 
facebookresearch/audioseal  ea10f5 
facebookresearch/lightplane  34fe6c 
facebookresearch/spiritlm  52fb2f 
FalkorDB/GraphRAG-SDK  250ebe 
Fanqi-Lin/Data-Scaling-Laws  bd6941 
fastapi/fastapi-cli  bc0840 
fedirz/faster-whisper-server  cbb6c9 
felafax/felafax  34a475 
filipstrand/mflux  627398 
FlagOpen/FlagGems  ca13b7 
fmind/cookiecutter-mlops-package  00fef7 
foundation-model-stack/fms-fsdp  408c75 
fpgmaas/cookiecutter-uv  90de47 
frdel/agent-zero  3cefa1 
frostming/tetos  106ea5 
Fugaku-LLM/DeepSpeedFugaku  74753f 
gauge-sh/bridge  8b3430 
Genentech/gReLU  efd308 
genomoncology/FuzzTypes  d96243 
getludic/ludic  a6db96 
getzep/graphiti  9f3dd5 
GigaxGames/gigax  c3c209 
gojasper/flash-diffusion  48e3bc 
gomate-community/TrustRAG  1334c4 
gomate-community/rageval  01e258 
google-deepmind/nanodo  10aefd 
google-deepmind/penzai  fda6cd 
google-deepmind/treescope  dac18b 
google-research/timesfm  02bc2f 
goombalab/hydra  b6b9b7 
gpustack/gpustack  4f0c67 
gregpr07/browser-use  5e545d 
groq/groq-python  fa2e13 
gusye1234/nano-graphrag  18fa3a 
hailo-ai/hailo-rpi5-examples  82cfc8 
Haiyang-W/GiT  ef2b64 
HanaokaYuzu/Gemini-API  e8a2d2 
HATTER-LONG/Verbiverse  82f988 
hinthornw/trustcall  eaaaad 
HKUDS/HiGPT  2b0793 
HKUDS/UrbanGPT  be3515 
